단지명,주소,전화번호,세대수,시도,시군구,동리,kaptCode,관리업체,시공사,준공년도
강화2차 세광 엔리치빌 아파트,인천광역시 강화군 선원면 중앙로 253-1,329327551,497.0,인천광역시,강화군,창리,A41782301,(주)화신지엠에스,세광종합건설(주),2004
강화1차 세광엔리치빌아파트,인천광역시 강화군 선원면 중앙로 253-1,329327551,576.0,인천광역시,강화군,창리,A41782302,미래TMS(주),세광종합건설(주),2001
강화현대아파트,인천시 강화군 강화읍 강화대로 191-14,329329277,219.0,인천광역시,강화군,갑곳리,A41780102,우리관리(주),현대건설,1994
초정마을 두산쌍용 아파트,인천 계양구 계양문화로 142,032-553-1042,798.0,인천광역시,계양구,용종동,A40770904,우리관리(주),"두산건설,쌍용건설",1997
병방 학마을 한진 아파트,인천광역시 계양구 용종로 124 학마을한진아파트관리사무소,032-546-9423,1500.0,인천광역시,계양구,병방동,A40770805,광인산업(주),한진건설,1998
도두리마을 대동아파트,인천광역시 계양구 도두리로 74,325526650,1299.0,인천광역시,계양구,작전동,A40771305,에이비엠(주),대동주택종합건설,1997
오류신동아아파트,인천광역시 계양구 황어로115번길 10(오류동),325148225,1192.0,인천광역시,계양구,오류동,A40776901,(주)대한주택개발,신동아건설(주),1997
용종 초정마을동아 아파트,인천광역시계양구계산새로109,325536466,616.0,인천광역시,계양구,용종동,A40770903,한국주택시설관리,동아건설,1998
계산 현대 아파트,인천광역시 계양구 계산로 165,325452376,1248.0,인천광역시,계양구,계산동,A40780017,주식회사 푸른종합주택관리,현대산업개발주식회사,1992
계산 주공 아파트,인천시 계양구 경명대로 1142번길 3,325437160,1140.0,인천광역시,계양구,계산동,A40776316,에이비엠(주),대한주택공사,1990
작전 풍림아이원 아파트,인천광역시 계양구 작전1동 169번지,325555335,468.0,인천광역시,계양구,작전동,A40781809,(주)화신지엠에스,풍림산업(주),2003
용종 초정마을하나아파트,인천 계양구 계양문화로 168,325497463,972.0,인천광역시,계양구,용종동,A40770905,에이비엠(주),한국공영,1997
작전현대2-2차아파트,인천광역시 계양구 효서로381,325499075,904.0,인천광역시,계양구,작전동,A40771502,에이비엠(주),성호주택,1993
작전 현광 아파트,인천 계양구 아나지로 388,032-297-9316,392.0,인천광역시,계양구,작전동,A40782101,화신GMS,주)현광건설,1992
계양센트레빌3단지,계양구 형제봉길 1번지,325484464,454.0,인천광역시,계양구,귤현동,A40772203,주식회사 푸른종합주택관리,동부건설(주),2013
작전 현대3차 아파트,인천 계양구 주부토로 413번길 18,325482574,390.0,인천광역시,계양구,작전동,A40782304,화신 GMS,현대산업개발,1992
효성 금호어울림 아파트,인천 계양구 아나지로198번길 11,032-554-4966,410.0,인천광역시,계양구,효성동,A40704001,미래TMS(주),금호건설,2005
은행마을태산,인천 계양구 계산4동 1084-3,032-547-1378,544.0,인천광역시,계양구,계산동,A40773701,에이비엠(주),(주) 태산,1997
계양그대가,인천 계양구 효서로 417,325446622,373.0,인천광역시,계양구,서운동,A40707002,세화종합관리(주),임광토건,2009
병방 학마을 서원 아파트,인천광역시 계양구 용종로123(병방동),322974535,688.0,인천광역시,계양구,병방동,A40776802,주식회사 대승케이비엠,서원건설(주),1997
동양 휴먼빌 아파트,인천 계양구 동양동 613,325489808,466.0,인천광역시,계양구,동양동,A40734002,(주)쌍용개발,(주)일신건영,2007
작전 미도 아파트,계양구 작전동 아나지로299번길17,325444428,480.0,인천광역시,계양구,작전동,A40781605,(주)화신지엠에스,가나안진흥건설,1990
귤현 현대아이파크 아파트,인천시 계양구 장군봉길 12(귤현동489),325473773,394.0,인천광역시,계양구,귤현동,A40772201,신화비엠씨(주),현대산업개발,2004
계산은행마을태평아파트,인천 계양구 용종로 20,032-551-2812,574.0,인천광역시,계양구,계산동,A40780913,에이비엠(주),태평건설,1997
작전 뉴서울2차 아파트,인천시 계양구 작전1동 26-1,325421464,400.0,인천광역시,계양구,작전동,A40781706,에이비엠(주),뉴서울주택,1992
도두리마을 동남롯데아파트,인천광역시 계양구 도두리로 62,325533120,1282.0,인천광역시,계양구,작전동,A40771404,대원에스테이트서비스(주),"동남기업, 롯데건설",1997
계양한화꿈에그린아파트,인천광역시 계양구 동양로10,325470058,670.0,인천광역시,계양구,박촌동,A40733003,미래티엠에스(주),(주)한화건설,2005
계산 하나 아파트,인천시 계양구 경명대로 1114번길6,325414981,994.0,인천광역시,계양구,계산동,A40776415, ,한국공영(주),1987
