seq,display_num,title,date,kaptCode,apt_name,file_count,file_names,download_status
53361,1,2022년 장기수선계획서,2023-02-23,A40770904,초정마을 두산쌍용 아파트,1,2022년-장기수선계획서-최종본-001.pdf,OK
41585,1,학마을한진아파트 장기수선계획서,2023-02-06,A40770805,병방 학마을 한진 아파트,1,장기수선계획서(2021.05.31)2.zip,OK
95940,1,장기수선계획서,2024-01-31,A40771305,도두리마을 대동아파트,1,도두리마을 대동아파트 장기수선계획(2023).pdf,OK
43514,1,장기수선계획 수립대상이 아님,2023-02-07,A40776901,오류신동아아파트,0,,NO_FILE
45284,1,휴먼빌장기수선계획,2023-02-08,A40734002,동양 휴먼빌 아파트,1,2023년장기수선계획서 (검토 및 조정).xlsx,OK
104661,1,2023년도 장기수선충당금 적립 및 사용 현황,2024-03-20,A40781605,작전 미도 아파트,1,23년도 장기수선충당금 적립 및 사용현황(이걸로 정리).hwp,OK
128021,3,2025년 장기수선적립및사용현황,2026-01-08,A40771404,도두리마을 동남롯데아파트,1,장기수선적립및사용현황(25년도).pdf,OK
122114,2,2024년도 장기수선적립및사용현황,2025-02-12,A40771404,도두리마을 동남롯데아파트,1,20250210174418.pdf,OK
105700,1,2023년도 장기수선적립및사용현황,2024-03-26,A40771404,도두리마을 동남롯데아파트,1,장기수선적립및사용현황.pdf,OK
120756,2,장기수선계획서[2024년 6월 정기검토],2024-09-13,A40778305,효성 2차 현대아파트,1,2024년 장기수선계획서 요약본.pdf,OK
69340,1,장기수선계획서 [정기조정 : 2021.06],2023-06-27,A40778305,효성 2차 현대아파트,1,효성2차현대 장기수선계획.pdf,OK
58422,1,2022년 장기수선계획 검토서 및 계획서,2023-03-16,A40733001,계양박촌풍림아이원아파트,2,검토서.pdf | 장기수선 계획서_박촌.pdf,OK
128664,1,25년 장기수선계획 수시조정,2026-01-22,A40771810,효성하나아파트,1,장기수선계획수시조정(2025.11수시계획서).pdf,OK
108040,2,장기수선계획 정기조정 ( 2019년~2023년),2024-04-05,A40770703,학마을영남아파트,8,장기수선계획서 조정_병방학마을영남_3(2019-10).hwp | 별첨_3(2019-10).pdf | 장기수선계획서 조정_병방학마을 영남_2(2020-10).hwp | 별첨_병방학마을영남_2(2020-10).pdf | 장기수선계획 조정안2021년도.hwp | 별첨_수시_학마을영남(2021).pdf | 정기조정(2023)_학마을 영남_2.hwp | 10516 별첨3(2023).pdf,OK
52819,1,장기수선계획 정기조정,2023-02-22,A40770703,학마을영남아파트,2,별첨_수시_학마을영남.pdf | 장기수선계획 조정안내.hwp,OK
30340,1,장기수선계획서,2023-01-16,A40780007,태산 아파트,1,장기수선계획서.hwp,OK
53746,1,2020.07 월  장기수선 계획서 -작전(부평)중앙하이츠아파트,2023-02-23,A40781702,작전중앙하이츠아파트(부평하이츠A입주자대표회의),1,20.07.31장계(작전중앙하이츠)완성본.hwp,OK
111600,1,장기수선계획,2024-04-30,A40782603,효성 중앙하이츠 아파트,1,장기수선계획서(2024년1월).pdf,OK
54661,1,장기수선계획서,2023-02-27,A40780211,"계산 삼보 1,2차 아파트",1,"계산삼보1,2차아파트 장기수선계획(2022)_상세본.hwp",OK
122644,2,2025년   정기조정,2025-03-21,A40781703,작전 무지개 아파트,0,,NO_FILE
48880,1,2022년 수시조정,2023-02-14,A40781703,작전 무지개 아파트,1,작전 무지개 아파트 (2023.02.14).pdf,OK
24761,1,장기수선계획서,2023-01-04,A40576101,구월 힐스테이트&롯데캐슬골드,1,1단지구월힐스 장기수선계획.pdf,OK
70170,1,장기수선계획서,2023-06-30,A40577402,만수 신동아 아파트,3,장기수선계획조정서.xlsx | 장기수선계획서 조정 총론.hwp | 2105 장기수선계획총론.xlsx,OK
34741,1,장기수선게획서,2023-01-26,A40526004,서창 현대모닝사이드 아파트,1,장기수선계획서 (2).pdf,OK
111320,2,2023년 장기수선충당계획서,2024-04-26,A40530011,논현꿈에그린,1,231124_장기수선계획서(논현한화꿈에그린6단지).pdf,OK
73721,1,2020년 장기수선충당계획서,2023-07-24,A40530011,논현꿈에그린,1,2020년 장기수선계획.hwp,OK
122349,2,2024년 장기수선계획서,2025-02-27,A40530009,논현별빛마을웰카운티,1,00. 장기수선계획서(24. 7월).pdf,OK
38311,1,2021년 장기수선계획서,2023-01-31,A40530009,논현별빛마을웰카운티,1,2021. 장기수선계획서(최종본)1.pdf,OK
47635,1,장기수선계획서,2023-02-10,A40582301,구월힐스테이트3단지아파트,1,장기수선계획서 조정 및 검토서(2022년).hwp,OK
93820,2,장기수선계획서-최종 8차조정),2024-01-19,A40578503,도림주공그린빌2단지,1,장기수선계획서(최종-8차).pdf,OK
50045,1,장기수선계획서,2023-02-15,A40578503,도림주공그린빌2단지,1,도림주공2장기수선계획.pdf,OK
42894,1,한화에코메트로6단지 장기수선충당계획,2023-02-07,A40579705,논현한화에코메트로6단지,0,,NO_FILE
36906,1,장기수선계획,2023-01-30,A40526003,서창서해그랑블,0,,NO_FILE
50320,1,장기수선계획,2023-02-16,A10028031,구월아시아드선수촌 6단지,1,장기수선계획-선수촌6단지.pdf,OK
118580,2,장기수선계획서(2024),2024-06-18,A40577102,만수주공1단지,1,장기수선계획서.pdf,OK
24086,1,장기수선계획서,2023-01-03,A40577102,만수주공1단지,1,장기수선계획서.pdf,OK
113161,5,장기수선계획 정기조정-2024년,2024-05-13,A40579706,논현한화에코메트로5단지,1,2024년 논현한화에코메트로 5단지 검토보고서(정기).pdf,OK
82260,4,장기수선계획 수시조정(2023.09.14.),2023-10-31,A40579706,논현한화에코메트로5단지,1,Scan.pdf,OK
