seq,display_num,title,date,views,board_secret
128980,6824,장기수선계획서 정기조정,2026-02-13,2,0
128978,6823,장기수선계획서,2026-02-13,1,0
128976,6822,25년 명정아파트 장기수선계획서,2026-02-13,4,0
128971,6821,장기수선충당금적립  및 사용현황 (2024년도),2026-02-12,8,0
128962,6820,23.12 정기 장기수선계획서,2026-02-12,0,0
128961,6819,2025.08 장기수선계획,2026-02-12,0,0
128960,6818,장기수선계획서(정기조정),2026-02-12,0,0
128956,6817,범물신화맨션 장기수선계획,2026-02-12,0,0
128955,6816,장기수선계획,2026-02-12,0,0
128954,6815,장기수선계획 수시조정(2025.12),2026-02-12,3,0
128947,6814,장기수선계획서 2026년도 정기,2026-02-11,1,0
128945,6813,2026년 장기수선계획서 ( 마곡수명산파크4단지),2026-02-11,1,0
128944,6812,2025년 장기수선계획서  (마곡수명산파크4단지),2026-02-11,0,0
128943,6811,장기수선충당계획,2026-02-11,1,0
128940,6810,2025.12월 장기수선계획,2026-02-11,3,0
128938,6809,2025년 장기수선계획 정기조정,2026-02-11,1,0
128936,6808,장기수선계획서(2025년),2026-02-11,3,0
128935,6807,2025년 장기수선계획 조정,2026-02-11,2,0
128934,6806,장기수선계획,2026-02-10,4,0
128933,6805,양양코아루아파트 장기수선계획(2025.11월),2026-02-10,2,0
128930,6804,2023년도 장기수선계획,2026-02-10,4,0
128928,6803,장기수선충당금 산정방법,2026-02-10,3,0
128920,6802,장기수선계획 수시조정 검토보고서 (2025.12),2026-02-10,2,0
128918,6801,장기수선계획서 2024년 6차,2026-02-09,3,0
128917,6800,대림아크로빌 장기수선계획서(2023.11.),2026-02-09,1,0
128913,6799,장기수선계획 수시조정 2025년 12월,2026-02-09,4,0
128912,6798,정기조정 장기수선계획_2025.8월,2026-02-09,2,0
128910,6797,장기수선계획서조정,2026-02-09,2,0
128909,6796,2025년 11월 수시 조정- 입주자대표회의 -장기수선계획서,2026-02-09,3,0
128908,6795,2024년 11월 - 평촌동지역주택조합-장기수선계획서,2026-02-09,0,0
128907,6794,2025년 장기수선계획서 수시 조정,2026-02-09,1,0
128906,6793,2024년 장기수서계획서 정기조정,2026-02-09,0,0
128903,6792,동탄호수공원자연&자이 아파트 장기수선계획서,2026-02-09,1,0
128902,6791,2025년 12월 정기조정,2026-02-09,2,0
128900,6790,장기수선계획수시조정(2025.12),2026-02-09,0,0
128895,6789,25년 장기수선충당금 적립 및 사용현황,2026-02-09,1,0
128892,6788,장기수선계획서 수시 조정,2026-02-06,1,0
128890,6787,"장기수선계획서(2024.04,  2025년 관리규약 변경)",2026-02-06,1,0
128889,6786,장기수선계획서(2024.4 요약),2026-02-06,0,0
128886,6785,2024년 12월 장기수선계획서,2026-02-05,6,0
128881,6784,2026년도 제8차 장기수선계획 검토조정(정기)결과 공고,2026-02-05,8,0
128878,6783,장기수선계획,2026-02-05,2,0
128870,6782,장기수선계획서,2026-02-04,9,0
128867,6781,장기수선계획서,2026-02-04,6,0
128859,6780,장기수선계획 정기 검토조정(2025.10.),2026-02-03,4,0
128858,6779,장기수선계획수시조정(2025-1차),2026-02-03,5,0
128856,6778,CCTV 통신 고장 긴급 보수,2026-02-03,1,0
128855,6777,단지내 볼라드 증설 설치 공사,2026-02-03,0,0
128854,6776,외부인 단지 내 출입제한 입주민 전용 출입문 및 펜스 증설 설치 공사,2026-02-03,0,0
128852,6775,2025 장기수선계획 수시조정(10차),2026-02-03,7,0
128851,6774,장기수선계획서20250331-2,2026-02-03,7,0
128850,6773,장기수선계획서20250331-1,2026-02-03,4,0
128846,6772,장기수선계획 조정(2026년 1월),2026-02-03,8,0
128845,6771,장기수선계획서,2026-02-03,5,0
128842,6770,도어모터교체,2026-02-02,0,0
128841,6769,ELD보드 교체,2026-02-02,0,0
128839,6768,장기수선 계획,2026-02-02,3,0
128838,6767,장기수선계획서7,2026-02-02,3,0
128837,6766,장기수선계획서6,2026-02-02,2,0
128836,6765,장기수선계획서5,2026-02-02,0,0
128835,6764,장기수선계획서4,2026-02-02,0,0
128834,6763,장기수선계획서3,2026-02-02,0,0
128833,6762,장기수선계획서2,2026-02-02,3,0
128832,6761,장기수선계획서1,2026-02-02,5,0
128830,6760,장기수선계획서,2026-02-02,5,0
128829,6759,2025년 장기수선계획서,2026-02-02,3,0
128826,6758,장기수선계획서,2026-02-02,3,0
128824,6757,용인신갈삼익아파트 장기수선계획서 (2025년 11월 조정),2026-02-02,3,0
128819,6756,2025년 장기수선계획 이월 항목 수시 조정,2026-01-30,7,0
128817,6755,장기수선계획서,2026-01-30,5,0
128816,6754,장기수선계획서,2026-01-30,8,0
128813,6753,상림마을7단지 장기수선계획,2026-01-30,2,0
128811,6752,장기수선계획서,2026-01-30,5,0
128809,6751,장기수선충당금 적립 및 사용현황,2026-01-30,2,0
128807,6750,2026년 장기수선계획 정기검토조정,2026-01-30,8,0
128806,6749,백석벽산블루밍1차 아파트 장기수선계획서_25년 12월 수시조정,2026-01-30,10,0
128805,6748,도봉럭키아파트 장기수선계획서 수시조정,2026-01-30,3,0
128804,6747,2025년도 장기수선충당금 적립 및 사용현황,2026-01-30,3,0
128803,6746,장기수선계획서,2026-01-30,4,0
128801,6745,장기수선충당금 적립 및 사용현황(2025년) 등록,2026-01-30,1,0
128800,6744,장기수선충당금 적립 및 사용현황(2024년) 등록,2026-01-30,0,0
128799,6743,장기수선계획서,2026-01-30,6,0
128795,6742,장기수선계획수시조정,2026-01-29,6,0
128794,6741,2024년 장기수선계획서,2026-01-29,3,0
128793,6740,율량대창4차아파트 2025년 장기수선계획서,2026-01-29,7,0
128791,6739,장기수선계획서-24.06.13,2026-01-29,8,0
128789,6738,2025년 장기수선게획조정안,2026-01-29,5,0
128787,6737,장기수선계획,2026-01-29,6,0
128786,6736,장기수선계획수시조정(2025.11.12),2026-01-29,5,0
128785,6735,장기수선계획수시조정(2024.12.11),2026-01-29,1,0
128784,6734,장기수선계획수시조정(2024.09.11),2026-01-29,1,0
128783,6733,장기수선계확서(수시),2026-01-29,4,0
128780,6732,햇빛마을20단지아파트 장기수선계획,2026-01-29,10,0
128779,6731,장기수선충당금 정기조정(2525년),2026-01-29,6,0
128776,6730,장기수선계획서,2026-01-29,4,0
128773,6729,2025년 12월 장기수선계획서(수시조정),2026-01-29,3,0
128771,6728,2025년 08월 장기수선계획 정기조정 및 검토,2026-01-29,4,0
128769,6727,장기수선 계획 조정 건,2026-01-29,4,0
128766,6726,2025년도~2028년도,2026-01-29,3,0
128764,6725,장기수선계획서,2026-01-29,3,0
128744,6724,장기수선계획서,2026-01-28,6,0
128742,6723,2026년  01월 장기수선계획 정기조정,2026-01-28,6,0
128740,6722,장기수선계획서(2025년도),2026-01-28,4,0
128735,6721,2025년 12월 장기수선계획 수시조정,2026-01-27,3,0
128732,6720,현대성우아파트 장기수선계획,2026-01-27,2,0
128730,6719,장기수선적립 및 사용현황 ~25년 12월,2026-01-27,4,0
128729,6718,산운마을8단지 장기수선계획,2026-01-27,4,0
128728,6717,장기수선계획 정기조정 (2025년 7월),2026-01-27,3,0
128726,6716,장기수선계획 정기조정(2024년 8월),2026-01-27,5,0
128723,6715,장기수선(정기조정)계획서,2026-01-27,3,0
128722,6714,장기수선충당금 적립 및 사용현황(2024년도),2026-01-27,1,0
128721,6713,장기수선충당금 적립 및 사용현황(2023년도),2026-01-27,0,0
128720,6712,2025년 12월 5일 수시조정 장기수선계획서 (23페이지 ~ 99페이지),2026-01-27,13,0
128719,6711,2025년 12월 5일 수시조정 장기수선계획서  (1페이지 ~ 22페이지),2026-01-27,26,0
128716,6710,장기수선계획서(2026~2028년) 별첨,2026-01-26,8,0
128715,6709,장기수선계획서(2026~2028년),2026-01-26,4,0
128714,6708,2021.9.15 장기수선계획서,2026-01-26,1,0
128708,6707,장기수선계획,2026-01-26,3,0
128707,6706,장기수선계획,2026-01-26,4,0
128702,6705,장기수선 계획서,2026-01-26,2,0
128698,6704,장기수선계획,2026-01-23,3,0
128692,6703,장기수선계획서(2025.12),2026-01-23,6,0
128691,6702,장기수선계획서,2026-01-23,2,0
128690,6701,장기수선계획서,2026-01-23,3,0
128689,6700,장기수선계획서,2026-01-23,1,0
128681,6699,장기수선계획서(2024.12),2026-01-23,4,0
128679,6698,자양10차현대홈타운아파트 장기수선계획서 - 수시조정 [2025.11],2026-01-22,4,0
128677,6697,장기수선계획서(정기조정),2026-01-22,2,0
128673,6696,장기수선계획서 정기조정(13차),2026-01-22,5,0
128671,6695,장기수선계획 수시조정  25.07,2026-01-22,1,0
128670,6694,장기수선계획서,2026-01-22,3,0
128666,6693,2025. 10 장기수선계획 정기조정,2026-01-22,3,0
128664,6692,25년 장기수선계획 수시조정,2026-01-22,6,0
128662,6691,25년 장기수선계획 조정,2026-01-22,2,0
128661,6690,장기수선충당금 사용계획서(26.1월),2026-01-22,2,0
128660,6689,2025년도 장기수선충당금 적립 및 사용현황,2026-01-22,1,0
128659,6688,24년 수시조정,2026-01-22,2,0
128658,6687,23년 장기수선계획,2026-01-22,1,0
128656,6686,장기수선계획,2026-01-22,2,0
128654,6685,장기수선계획 정기 조정,2026-01-21,8,0
128653,6684,2025 수시조정 장기수선계획,2026-01-21,2,0
128652,6683,2023  정기조정 장기수선계획,2026-01-21,3,0
128649,6682,강서센트레빌4차아파트 장기수선계획,2026-01-21,4,0
128642,6681,장기수선계획서,2026-01-21,2,0
128638,6680,장기수선계획서,2026-01-20,4,0
128634,6679,장기수선계획,2026-01-20,5,0
128633,6678,장기수선계획,2026-01-20,3,0
128147,6677,2025년 장기수선계획,2026-01-20,2,0
128144,6676,장기수선조정계획서,2026-01-20,4,0
128136,6675,2025년 장기수선충당금 적립 및 사용현황,2026-01-19,3,0
128135,6674,장기수선계획,2026-01-19,3,0
128129,6673,장기수선계획,2026-01-16,7,0
128127,6672,2025년 장기수선충당금 적립 및 사용 현황,2026-01-16,0,0
128124,6671,장기수선계획서 ( 2025년12월 수시조정본),2026-01-16,6,0
128123,6670,장기수선충당금 적립 및 사용현황 2024년,2026-01-16,2,0
128121,6669,장기수선계획 정기 조정(25.12.22),2026-01-16,10,0
128118,6668,장기수선계획서(정기조정_2025년 12월),2026-01-16,3,0
128115,6667,장기수선계획,2026-01-15,4,0
128114,6666,장기수선계획서(25년 정기),2026-01-15,4,0
128113,6665,장기수선계획서 (22년12월-정기검토),2026-01-15,2,0
128112,6664,장기수선계획서(20년12월-수시조정),2026-01-15,2,0
128111,6663,2025장기수선계획서(정기검토),2026-01-15,3,0
128110,6662,장기수선계획서 (최초 2019년),2026-01-15,2,0
128107,6661,기장태영아파트 2025년  장기수선계획서,2026-01-15,3,0
128106,6660,장기수선계획,2026-01-15,4,0
